,ID,ivy評分,nancy評分
0,2,0,0
1,3,0,0
2,4,0,5
3,7,0,0
4,12,0,0
5,14,0,0
6,15,0,0
7,16,0,0
8,17,0,0
9,18,0,0
10,19,0,0
11,20,0,0
12,23,0,0
13,25,0,0
14,26,0,0
15,27,0,0
16,30,0,0
17,32,0,0
18,33,0,0
19,34,0,0
20,37,0,0
21,42,0,0
22,43,0,0
23,46,0,0
24,47,0,0
25,49,0,0
26,50,0,0
27,51,0,0
28,52,0,0
29,53,0,0
30,54,0,0
31,55,0,0
32,59,0,0
33,61,0,5
34,63,0,0
35,66,0,0
36,67,10,0
37,69,0,0
38,70,0,0
39,74,0,0
40,80,0,0
41,83,0,0
42,84,0,0
43,85,5,4
44,86,0,0
45,87,0,0
46,88,0,0
47,96,0,0
48,97,0,0
49,99,0,0
50,100,4,5
51,101,0,0
52,105,0,0
53,106,0,0
54,108,0,4
55,109,0,0
56,110,0,0
57,111,0,0
58,121,0,0
59,122,0,0
60,123,0,0
61,124,0,0
62,126,0,0
63,128,0,0
64,130,0,0
65,132,0,0
66,133,0,0
67,134,0,0
68,135,0,0
69,137,0,0
70,138,0,0
71,141,0,0
72,143,0,0
73,146,0,0
74,148,5,5
75,149,0,0
76,150,0,0
77,152,0,0
78,153,0,0
79,158,0,0
80,159,0,0
81,164,0,0
82,165,0,0
83,168,4,0
84,171,0,0
85,174,0,0
86,177,0,0
87,178,0,0
88,179,0,0
89,180,0,0
90,181,0,0
91,187,0,0
92,190,0,0
93,191,0,0
94,192,0,0
95,195,0,0
96,199,0,0
97,200,0,0
98,203,0,0
99,204,0,0
100,207,0,0
101,208,0,0
102,210,0,0
103,115,0,0
104,211,0,5
105,215,0,0
106,216,0,0
107,217,0,0
108,220,0,0
109,221,0,0
110,222,0,0
111,225,0,0
112,226,0,0
113,228,0,0
114,230,0,0
115,232,0,0
116,233,0,0
117,237,0,0
118,238,0,0
119,239,0,0
120,240,0,0
121,241,0,0
122,242,0,0
123,244,0,0
124,246,0,0
125,248,0,0
126,250,0,0
127,251,0,0
128,253,0,0
129,256,0,0
130,257,0,0
131,260,0,0
132,261,0,0
133,262,0,4
134,263,0,0
135,264,0,0
136,265,0,0
137,271,0,0
138,278,0,0
139,280,0,0
140,282,0,0
141,284,4,4
142,286,0,0
143,293,0,0
144,296,0,0
145,297,0,0
146,299,0,0
147,301,0,0
148,303,0,0
149,304,0,0
150,306,0,0
151,307,0,0
152,311,0,4
153,312,0,0
154,314,0,0
155,317,0,0
156,318,0,0
157,319,0,0
158,320,0,0
159,323,4,0
160,326,0,0
161,332,0,0
162,337,0,0
163,338,0,0
164,339,0,0
165,342,0,0
166,343,0,0
167,350,0,0
168,352,4,4
169,355,0,0
170,358,0,0
171,360,0,0
172,362,0,0
173,363,0,0
174,364,0,0
175,365,0,0
176,366,0,0
177,370,0,0
178,371,0,0
179,373,0,0
180,374,0,0
181,377,0,0
182,381,0,0
183,387,4,5
184,388,0,0
185,389,0,0
186,391,0,0
187,392,0,0
188,393,0,0
189,394,0,5
190,395,0,0
191,396,0,0
192,397,0,0
193,400,0,0
194,401,0,0
195,409,0,0
196,410,0,0
197,411,0,0
198,413,0,0
199,414,0,0
200,418,0,0
201,423,0,0
202,427,0,0
203,431,0,0
204,433,0,0
205,434,0,0
206,435,0,0
207,437,4,4
208,439,0,0
209,440,0,0
210,441,0,0
211,444,0,0
212,445,0,0
213,449,0,0
214,450,0,0
215,455,0,0
216,457,4,4
217,458,0,0
218,459,4,5
219,460,0,0
220,461,0,0
221,462,0,0
222,463,4,4
223,470,0,0
224,473,0,0
225,476,0,0
226,479,0,0
227,480,0,0
228,485,0,0
229,486,0,0
230,488,0,0
231,489,0,0
232,491,0,0
233,493,0,0
234,494,0,0
235,495,0,0
236,496,0,0
237,497,0,0
238,499,0,0
239,500,0,0
