,ID,ivy評分,tin評分
0,2,0,0
1,3,0,0
2,4,0,5
3,7,0,0
4,12,0,0
5,14,0,0
6,15,0,0
7,16,0,0
8,17,0,0
9,18,0,0
10,19,0,0
11,20,0,0
12,22,0,5
13,23,0,0
14,24,0,0
15,25,0,0
16,26,0,0
17,27,0,0
18,30,0,0
19,32,0,0
20,33,0,0
21,34,0,0
22,37,0,0
23,38,0,5
24,42,0,0
25,43,0,0
26,46,0,0
27,47,0,0
28,48,0,0
29,49,0,0
30,50,0,0
31,51,0,0
32,52,0,0
33,53,0,0
34,54,0,0
35,55,0,0
36,59,0,0
37,61,0,5
38,62,4,5
39,63,0,0
40,65,0,0
41,66,0,0
42,67,10,0
43,69,0,0
44,70,0,0
45,74,0,0
46,80,0,0
47,83,0,0
48,84,0,0
49,85,5,5
50,86,0,0
51,87,0,0
52,88,0,0
53,92,0,0
54,96,0,0
55,97,0,0
56,99,0,0
57,100,4,5
58,101,0,0
59,105,0,0
60,106,0,0
61,108,0,4
62,109,0,0
63,110,0,0
64,111,0,0
65,121,0,0
66,122,0,0
67,123,0,0
68,124,0,0
69,126,0,0
70,128,0,0
71,130,0,0
72,132,0,0
73,133,0,0
74,134,0,0
75,135,0,0
76,137,0,0
77,138,0,0
78,141,0,0
79,144,4,5
80,146,0,0
81,148,5,5
82,149,0,0
83,150,0,0
84,152,0,0
85,153,0,0
86,158,0,0
87,159,0,0
88,164,0,0
89,165,0,0
90,168,4,0
91,169,0,0
92,174,0,0
93,177,0,0
94,178,0,0
95,179,0,0
96,180,0,0
97,181,0,0
98,183,4,5
99,186,0,5
100,187,0,0
101,190,0,0
102,191,0,0
103,192,0,0
104,195,0,0
105,199,0,0
106,200,0,0
107,203,0,0
108,204,0,0
109,207,0,0
110,208,0,0
111,210,0,0
112,115,0,0
113,212,0,0
114,215,0,0
115,217,0,0
116,220,0,0
117,221,0,0
118,222,0,0
119,223,0,0
120,224,0,0
121,225,0,0
122,226,0,0
123,228,0,0
124,230,0,0
125,232,0,0
126,233,0,0
127,236,0,0
128,237,0,0
129,238,0,0
130,239,0,0
131,241,0,0
132,242,0,0
133,245,0,0
134,246,0,0
135,248,0,0
136,249,0,0
137,250,0,0
138,251,0,0
139,253,0,0
140,256,0,0
141,257,0,0
142,258,0,0
143,259,0,0
144,260,0,0
145,261,0,0
146,262,0,5
147,263,0,0
148,264,0,0
149,265,0,0
150,271,0,0
151,275,0,0
152,276,0,0
153,278,0,0
154,279,0,5
155,280,0,0
156,282,0,0
157,284,4,4
158,286,0,0
159,291,0,0
160,292,0,0
161,293,0,0
162,296,0,0
163,297,0,0
164,299,0,0
165,301,0,0
166,303,0,0
167,304,0,0
168,306,0,0
169,307,0,0
170,308,0,0
171,310,0,0
172,312,0,0
173,313,4,5
174,314,0,0
175,317,0,0
176,318,0,0
177,319,0,0
178,320,0,0
179,323,4,0
180,326,0,0
181,328,4,5
182,329,0,0
183,334,0,0
184,337,0,0
185,338,0,0
186,339,0,0
187,341,0,0
188,342,0,0
189,343,0,0
190,347,0,0
191,350,0,0
192,351,0,0
193,352,4,5
194,355,0,0
195,357,0,0
196,358,0,0
197,360,0,0
198,361,4,4
199,362,0,0
200,363,0,0
201,364,0,0
202,365,0,0
203,366,0,0
204,369,0,0
205,370,0,0
206,371,0,0
207,373,0,0
208,374,0,0
209,375,0,5
210,377,0,0
211,381,0,0
212,387,4,5
213,388,0,4
214,389,0,0
215,391,0,0
216,392,0,0
217,393,0,0
218,394,0,4
219,395,0,0
220,396,0,0
221,397,0,0
222,400,0,0
223,401,0,0
224,404,0,0
225,409,0,0
226,410,0,0
227,411,0,0
228,413,0,0
229,414,0,0
230,418,0,0
231,422,4,4
232,423,0,0
233,426,0,5
234,427,0,0
235,431,0,0
236,433,0,0
237,434,0,0
238,435,0,0
239,437,4,5
240,438,4,5
241,439,0,0
242,440,0,0
243,441,0,0
244,444,0,0
245,445,0,0
246,446,4,5
247,448,4,5
248,450,0,0
249,451,0,5
250,452,4,4
251,455,0,0
252,457,4,5
253,458,0,0
254,459,4,5
255,460,0,0
256,461,0,0
257,462,0,0
258,463,4,5
259,465,0,0
260,466,4,5
261,470,0,0
262,473,0,0
263,476,0,0
264,479,0,0
265,480,0,0
266,485,0,0
267,486,0,0
268,488,0,0
269,489,0,0
270,491,0,0
271,493,0,0
272,494,0,0
273,495,0,0
274,496,0,0
275,497,0,0
276,499,0,0
277,500,0,0
